"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"12-HETE","12-HETE","HMDB0006111","5283155","C14777","CCCCC\C=C/C[C@H](O)\C=C\C=C/C\C=C/CCCC(O)=O","1"
"(R)-1-Methylpiperidine-2-carboxylic acid","NA","NA","NA","NA","NA","0"
"N-Acetylaspartylglutamic acid","N-Acetylaspartylglutamic acid","HMDB0001067","188803","C12270","CC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"N-Acetylmethionine sulfoxide","N-Acetylmethionine sulfoxide","HMDB0240343","7408371",NA,"CC(=O)N[C@@H](CCS(C)=O)C(O)=O","1"
"Putrescine","Putrescine","HMDB0001414","1045","C00134","NCCCCN","1"
"Glutamic acid","Glutamic acid","HMDB0000148","33032","C00025","N[C@@H](CCC(O)=O)C(O)=O","1"
"N-Acetylglutamine","N-Acetylglutamine","HMDB0006029","182230",NA,"CC(=O)N[C@@H](CCC(N)=O)C(O)=O","1"
"4-Acetamidobutanoic acid","4-Acetamidobutanoic acid","HMDB0003681","18189","C02946","CC(=O)NCCCC(O)=O","1"
"Pipecolic acid","Pipecolic acid","HMDB0000070","849","C00408","OC(=O)C1CCCCN1","1"
"Aminoadipic acid","Aminoadipic acid","HMDB0000510","92136","C00956","N[C@@H](CCCC(O)=O)C(O)=O","1"
"Acetylglycine","Acetylglycine","HMDB0000532","10972",NA,"CC(=O)NCC(O)=O","1"
"PE(16:0/18:1(9Z))","PE(16:0/18:1(9Z))","HMDB0008927","5283496","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"Lignoceroylcarnitine","NA","NA","NA","NA","NA","0"
"1-Stearoylglycerophosphoserine","1-Stearoylglycerophosphoserine","HMDB0061698","74819135",NA,"CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O","1"
"Nicotinamide ribotide","Nicotinamide ribotide","HMDB0000229","14181","C00455","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"Methionine sulfoxide","Methionine sulfoxide","HMDB0002005","158980","C02989","CS(=O)CC[C@H](N)C(O)=O","1"
"N-Acetyl-L-glutamic acid","N-Acetyl-L-glutamic acid","HMDB0001138","70914","C00624","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"N-(3-acetamidopropyl)pyrrolidin-2-one","N-(3-acetamidopropyl)pyrrolidin-2-one","HMDB0061384","129397",NA,"CC(=O)NCCCN1CCCC1=O","1"
"Nicotinamide riboside","Nicotinamide riboside","HMDB0000855","439924","C03150","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"Memantine","Memantine","HMDB0015177","4054","C13736","CC12CC3CC(C)(C1)CC(N)(C3)C2","1"
"Dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","440667","C05422","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"alpha-Dimorphecolic acid","alpha-Dimorphecolic acid","HMDB0004670","5312830","C14767","CCCCC\C=C/C=C/[C@@H](O)CCCCCCCC(O)=O","1"
"Pyridoxamine","Pyridoxamine","HMDB0001431","1052","C00534","CC1=C(O)C(CN)=C(CO)C=N1","1"
"L-Threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"alpha-Tocopherol","alpha-Tocopherol","HMDB0001893","14985","C02477","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1","1"
"2-Hydroxystearic acid","2-Hydroxystearic acid","HMDB0062549","439887","C03045","CCCCCCCCCCCCCCCC[C@H](O)C(O)=O","1"
"3'-AMP","3'-AMP","HMDB0003540","41211","C01367","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1","1"
"PI(18:1(9Z)/18:1(9Z))","PI(18:1(9Z)/18:1(9Z))","HMDB0009837",NA,"C00626","[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"15-HETE","15-HETE","HMDB0003876","5280724","C04742","CCCCC[C@H](O)\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"PE(18:1(9Z)/18:1(9Z))","PE(18:1(9Z)/18:1(9Z))","HMDB0009059","9546757","C00350","[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"Methionine sulfone","Methionine sulfone","HMDB0062174","445282",NA,"CS(=O)(=O)CC[C@H](N)C(O)=O","1"
"4-Trimethylammoniobutanoic acid","4-Trimethylammoniobutanoic acid","HMDB0001161","725","C01181","C[N+](C)(C)CCCC([O-])=O","1"
"1,5-Anhydrosorbitol","1,5-Anhydrosorbitol","HMDB0002712","64960","C07326","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"Creatine","Creatine","HMDB0000064","586","C00300","CN(CC(O)=O)C(N)=N","1"
"NADP","NADP","HMDB0000217","5885","C00006","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"beta-Tocopherol","beta-Tocopherol","HMDB0006335","6857447","C14152","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=CC(C)=C2O1","1"
"Dodecadienoic acid","NA","NA","NA","NA","NA","0"
"PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0008147","24778979","C00157","CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"gamma-Glutamylglutamic acid","gamma-Glutamylglutamic acid","HMDB0011737","92865","C05282","N[C@@H](CCC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O","1"
"Hydroxypropanedioic acid","Hydroxypropanedioic acid","HMDB0035227","45","C02287","OC(C(O)=O)C(O)=O","1"
"Trigonelline","Trigonelline","HMDB0000875","5570","C01004","C[N+]1=CC=CC(=C1)C([O-])=O","1"
"Guanosine 3'-monophosphate","Guanosine 3'-monophosphate","HMDB0240587","8339","C06193","NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@H]2O)C(=O)N1","1"
"Maleic acid","Maleic acid","HMDB0000176","444266","C01384","OC(=O)\C=C/C(O)=O","1"
"Homo-L-arginine","Homo-L-arginine","HMDB0000670","9085","C01924","N[C@@H](CCCCNC(N)=N)C(O)=O","1"
"Docosanoylcarnitine","Docosanoylcarnitine","HMDB0062468","71464577",NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"Sedoheptulose","Sedoheptulose","HMDB0003219","441483","C02076","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@H](O)[C@@H]1O","1"
"Indole-3-carboxaldehyde","Indole-3-carboxaldehyde","HMDB0029737","10256","C08493","O=CC1=CNC2=C1C=CC=C2","1"
