"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Aminoacyl-tRNA biosynthesis",74,11.741,9,0.85367,0.068709,1,1,0.21918
"Glycosphingolipid biosynthesis - globo and isoglobo series",37,5.8707,4,0.86164,0.064676,1,1,0.33333
"Glycosphingolipid biosynthesis - ganglio series",47,7.4574,5,0.8884,0.05139,1,1,0.34783
"Retinol metabolism",47,7.4574,5,0.8884,0.05139,1,1,0.45652
"Valine, leucine and isoleucine degradation",87,13.804,10,0.90516,0.043276,1,1,0.67442
"Arachidonic acid metabolism",95,15.073,11,0.90924,0.041321,1,1,0.2766
"Fatty acid elongation",75,11.9,8,0.92728,0.032789,1,1,0.94595
"Terpenoid backbone biosynthesis",36,5.712,3,0.94118,0.026326,1,1,0.22857
"One carbon pool by folate",72,11.424,7,0.95407,0.020419,1,1,0.52113
"Biotin metabolism",21,3.332,1,0.97385,0.011508,1,1,0.8
"Folate biosynthesis",61,9.6787,5,0.97536,0.010837,1,1,0.2
"Tyrosine metabolism",88,13.963,8,0.97891,0.0092565,1,1,0.37931
"Glycosaminoglycan degradation",44,6.9814,3,0.97935,0.0090641,1,1,0.13953
"D-Amino acid metabolism",23,3.6493,1,0.98155,0.0080874,1,1,0.090909
"Fatty acid degradation",102,16.184,8,0.99526,0.0020624,1,1,1.0891
"Biosynthesis of unsaturated fatty acids",47,7.4574,2,0.99724,0.0011992,1,1,0.47826
"Steroid biosynthesis",81,12.852,5,0.99792,0.00090446,1,1,0.225
"Tryptophan metabolism",84,13.328,5,0.9986,0.00060937,1,1,0.14458
"Drug metabolism - cytochrome P450",98,15.549,6,0.99918,0.00035609,1,1,0.082474
"Primary bile acid biosynthesis",92,14.597,3,0.99998,7.1319e-06,1,1,0.15385
"Glycosphingolipid biosynthesis - lacto and neolacto series",127,20.151,6,0.99998,6.8548e-06,1,1,0.22222
"Metabolism of xenobiotics by cytochrome P450",145,23.007,8,0.99998,1.0057e-05,1,1,0.22222
"Steroid hormone biosynthesis",208,33.003,8,1,1.141e-09,1,1,0.25121
"Fatty acid biosynthesis",129,20.468,5,1,9.9089e-07,1,1,0.53906
