"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"SM(d18:1/22:0)","SM(d18:1/22:0)","HMDB0012103","44260125","C00550","CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP([O-])(=O)OCC[N+](C)(C)C)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"Kynurenic acid","Kynurenic acid","HMDB0000715","3845","C01717","OC(=O)C1=CC(=O)C2=CC=CC=C2N1","1"
"N-Acetyl-L-methionine","N-Acetyl-L-methionine","HMDB0011745","448580","C02712","CSCC[C@H](NC(C)=O)C(O)=O","1"
"Pseudouridine","Pseudouridine","HMDB0000767","15047","C02067","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O","1"
"Uric acid","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"1-Methylhistidine","1-Methylhistidine","HMDB0000001","92105","C01152","CN1C=NC(C[C@H](N)C(O)=O)=C1","1"
"2-Methylbutyroylcarnitine","2-Methylbutyroylcarnitine","HMDB0000378","6426901",NA,"CCC(C)C(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"2-Hydroxy-3-methylbutyric acid","2-Hydroxy-3-methylbutyric acid","HMDB0000407","99823",NA,"CC(C)C(O)C(O)=O","1"
"Spermidine","Spermidine","HMDB0001257","1102","C00315","NCCCCNCCCN","1"
"Methylmalonic acid","Methylmalonic acid","HMDB0000202","487","C02170","CC(C(O)=O)C(O)=O","1"
"S-Adenosylhomocysteine","S-Adenosylhomocysteine","HMDB0000939","439155","C00021","N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","1"
"Sphinganine","Sphinganine","HMDB0000269","91486","C00836","CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO","1"
"alpha-Tocopherol","alpha-Tocopherol","HMDB0001893","14985","C02477","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1","1"
"Dodecanoylcarnitine","Dodecanoylcarnitine","HMDB0002250","168381",NA,"CCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Linoleyl carnitine","Linoleyl carnitine","HMDB0006469","6450015",NA,"CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Myristoleoylcarnitine","Myristoleoylcarnitine","HMDB0240588","90659872",NA,"CCCC\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"2-Hydroxyhexadecanoic acid","2-Hydroxyhexadecanoic acid","HMDB0031057","12575964",NA,"CCCCCCCCCCCCCC[C@H](O)C(O)=O","1"
"Glyceric acid","Glyceric acid","HMDB0000139","439194","C00258","OC[C@@H](O)C(O)=O","1"
"Tiglylcarnitine","Tiglylcarnitine","HMDB0002366","91825636",NA,"C\C=C(/C)C(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"Aminoadipic acid","Aminoadipic acid","HMDB0000510","92136","C00956","N[C@@H](CCCC(O)=O)C(O)=O","1"
"N-carbamoylglutamic Acid","NA","NA","NA","NA","NA","0"
"Betaine","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(O)=O","1"
"Uridine diphosphate glucose","Uridine diphosphate glucose","HMDB0000286","8629","C00029","OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Thioproline","Thioproline","HMDB0062164","93176",NA,"OC(=O)[C@@H]1CSCN1","1"
"Creatinine","Creatinine","HMDB0000562","588","C00791","CN1CC(=O)NC1=N","1"
"PC(P-16:0/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"Symmetric dimethylarginine","Symmetric dimethylarginine","HMDB0003334","169148",NA,"CN\C(NCCC[C@H](N)C(O)=O)=N/C","1"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"Homocitric acid","Homocitric acid","HMDB0003518","439459","C01251","OC(=O)CC[C@@](O)(CC(O)=O)C(O)=O","1"
"3-Hydroxydodecanoic acid","3-Hydroxydodecanoic acid","HMDB0000387","5312805",NA,"CCCCCCCCC[C@H](O)CC(O)=O","1"
"Cysteineglutathione disulfide","Cysteineglutathione disulfide","HMDB0000656","53477713",NA,"N[C@@H](CCC(=O)N[C@@H](CSSCC(N)C(O)=O)C(=O)NCC(O)=O)C(O)=O","1"
"LysoPG(18:2(9Z,12Z)/0:0)","NA","NA","NA","NA","NA","0"
"Isobutyryl-L-carnitine","Isobutyryl-L-carnitine","HMDB0000736","168379",NA,"CC(C)C(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"PC(16:1(9Z)/18:2(9Z,12Z))","PC(16:1(9Z)/18:2(9Z,12Z))","HMDB0008006","24778768","C00157","CCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"D-Mannonate","D-Mannonate","METPA0052",NA,"C00514",NA,"1"
"Homo-L-arginine","Homo-L-arginine","HMDB0000670","9085","C01924","N[C@@H](CCCCNC(N)=N)C(O)=O","1"
"Heptadecanoyl carnitine","Heptadecanoyl carnitine","HMDB0006210","53477803",NA,"CCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"1-Methylinosine","1-Methylinosine","HMDB0002721","65095",NA,"CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O","1"
"N8-Acetylspermidine","N8-Acetylspermidine","HMDB0002189","123689","C01029","CC(=O)NCCCCNCCCN","1"
"PC(18:0/18:0)","PC(18:0/18:0)","HMDB0008036","94190","C00157","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC","1"
"Lignoceroylcarnitine","NA","NA","NA","NA","NA","0"
"Glutamine","Glutamine","HMDB0000641","5961","C00064","N[C@@H](CCC(N)=O)C(O)=O","1"
"Phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"2,3-Dihydroxy-5-methylthio-4-pentenoic acid","NA","NA","NA","NA","NA","0"
"1-Methyladenosine","1-Methyladenosine","HMDB0003331","27476","C02494","CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N","1"
"3-Hydroxyhexadecanoylcarnitine","3-Hydroxyhexadecanoylcarnitine","HMDB0013336","126456228",NA,"CCCCCCCCCCCCCC(O)CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"N2,N2-Dimethylguanosine","N2,N2-Dimethylguanosine","HMDB0004824","92919",NA,"CN(C)C1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"PC(16:0/18:2(9Z,12Z))","PC(16:0/18:2(9Z,12Z))","HMDB0007973","5287971","C00157","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"3-Hydroxybutyrylcarnitine","3-Hydroxybutyrylcarnitine","HMDB0013127","53481617",NA,"C[C@@H](O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C","1"
"Beta-D-Fructose 6-phosphate","Beta-D-Fructose 6-phosphate","HMDB0003971","440641","C05345","OC[C@@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O","1"
