Genes diffrentially expressed between sleep and wakefulness in the cerebral cortex - FDR <1%; linear trend analysis for temporal pattern in gene expression - FDR <5%								
								

Affymetrix id	sleep	wake	category 	Gene name	Gene Symbol	Entrez Gene		
1420902_at	UP	UP	1	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"	St6galnac3	20447		
1420973_at	UP	UP	1	AT rich interactive domain 5B (Mrf1 like)	Arid5b	71371		
1421206_at	UP	UP	1	leukemia inhibitory factor	Lif	16878		
1421260_a_at	UP	UP	1	spermidine synthase	Srm	20810		
1421296_at	UP	UP	1	"tumor necrosis factor receptor superfamily, member 10b"	Tnfrsf10b	21933		
1421365_at	UP	UP	1	follistatin	Fst	14313		
1421486_at	UP	UP	1	early growth response 3	Egr3	13655		
1421679_a_at	UP	UP	1	cyclin-dependent kinase inhibitor 1A (P21)	Cdkn1a	12575		
1421985_a_at	UP	UP	1	eukaryotic translation initiation factor 4E member 2	Eif4e2	26987		
1422010_at	UP	UP	1	toll-like receptor 7	Tlr7	170743		
1422211_a_at	UP	UP	1	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"	B3gnt3	72297		
1422288_at	UP	UP	1	5-hydroxytryptamine (serotonin) receptor 1B	Htr1b	15551		
1422375_a_at	UP	UP	1	ADP-ribosyltransferase 1	Art1	11870		
1422393_at	UP	UP	1	forkhead box E3	Foxe3	30923		
1422505_at	UP	UP	1	chromatin accessibility complex 1	Chrac1	93696		
1422613_a_at	UP	UP	1	ribosomal protein L7a	Rpl7a	27176		
1422705_at	UP	UP	1	"transmembrane, prostate androgen induced RNA"	Tmepai	65112		
1422869_at	UP	UP	1	c-mer proto-oncogene tyrosine kinase	Mertk	17289		
1423135_at	UP	UP	1	"thymus cell antigen 1, theta"	Thy1	21838		
1423306_at	UP	UP	1	RIKEN cDNA 2010002N04 gene	2010002N04Rik	106878		
1423425_at	UP	UP	1	RIKEN cDNA 1300012G16 gene	1300012G16Rik	71772		
1423427_at	UP	UP	1	adenylate cyclase activating polypeptide 1	Adcyap1	11516		
1423448_at	UP	UP	1	"RAB11B, member RAS oncogene family"	Rab11b	19326		
1423567_a_at	UP	UP	1	"proteasome (prosome, macropain) subunit, alpha type 7"	Psma7	26444		
1423568_at	UP	UP	1	"proteasome (prosome, macropain) subunit, alpha type 7"	Psma7	26444		
1423747_a_at	UP	UP	1	"pyruvate dehydrogenase kinase, isoenzyme 1"	Pdk1	228026		
1423869_s_at	UP	UP	1	thioredoxin reductase 3	Txnrd3	232223		
1423893_x_at	UP	UP	1	"amyloid beta (A4) precursor protein-binding, family B, member 1"	Apbb1	11785		
1424068_at	UP	UP	1	T-cell leukemia translocation altered gene	Tcta	102791		
1424227_at	UP	UP	1	polymerase (RNA) III (DNA directed) polypeptide H	Polr3h	78929		
1424229_at	UP	UP	1	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	Dyrk3	226419		
1424362_at	UP	UP	1	phosphatidic acid phosphatase type 2 domain containing 3	Ppapdc3	227721		
1424369_at	UP	UP	1	"proteasome (prosome, macropain) inhibitor subunit 1"	Psmf1	228769		
1424457_at	UP	UP	1	"amyloid beta (A4) precursor protein-binding, family B, member 3"	Apbb3	225372		
1424481_s_at	UP	UP	1	hypothetical LOC494468	MGC38735	494468		
1424519_at	UP	UP	1	GTP binding protein 7 (putative)	Gtpbp7	212508		
1424633_at	UP	UP	1	calcium/calmodulin-dependent protein kinase I gamma	Camk1g	215303		
1424763_at	UP	UP	1	RIKEN cDNA 1700027N10 gene	1700027N10Rik	75564		
1424773_at	UP	UP	1	RIKEN cDNA 1110012M11 gene	1110012M11Rik	73711		
1424804_at	UP	UP	1	cDNA sequence BC020002	BC020002	252875		
1424819_a_at	UP	UP	1	resistance to inhibitors of cholinesterase 8 homolog (C. elegans)	Ric8	101489		
1424835_at	UP	UP	1	"glutathione S-transferase, mu 4"	Gstm4	14865		
1425226_x_at	UP	UP	1	"T-cell receptor beta, variable 13"	Tcrb-V13	269846		
1425400_a_at	UP	UP	1	"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4"	Cited4	56222		
1425552_at	UP	UP	1	huntingtin interacting protein 1 related	Hip1r	29816		
1425557_x_at	UP	UP	1	TSC22 domain family 3	Tsc22d3	14605		
1425738_at	UP	UP	1	similar to anti-glycoprotein-B of human Cytomegalovirus immunoglobulin Vl chain /// similar to immunoglobulin light chain variable region	LOC243469 /// LOC435905	243469 /// 435905		
1426189_at	UP	UP	1	dual specificity phosphatase-like 15	Dusp15	252864		
1426368_at	UP	UP	1	similar to Ras and Rab interactor 2 (Ras interaction/interference protein 2)	LOC547368	547368		
1426464_at	UP	UP	1	"nuclear receptor subfamily 1, group D, member 1"	Nr1d1	217166		
1426632_at	UP	UP	1	potassium channel tetramerisation domain containing 14	Kctd14	233529		
1426658_x_at	UP	UP	1	3-phosphoglycerate dehydrogenase	Phgdh	236539		
1426768_at	UP	UP	1	RIKEN cDNA 1700060H10 gene	1700060H10Rik	73390		
1426772_x_at	UP	UP	1	"T-cell receptor beta, joining region /// T-cell receptor beta, variable 13 /// similar to T cell antigen receptor"	Tcrb-J /// Tcrb-V13 /// LOC381765	21580 /// 269846 /// 381765		
1426794_at	UP	UP	1	"protein tyrosine phosphatase, receptor type, S"	Ptprs	19280		
1427230_at	UP	UP	1	RIKEN cDNA B930041F14 gene	B930041F14Rik	230991		
1427316_s_at	UP	UP	1	EST AA881470	AA881470	231841		
1427345_a_at	UP	UP	1	"sulfotransferase family 1A, phenol-preferring, member 1"	Sult1a1	20887		
1427816_at	UP	UP	1	"splicing factor, arginine/serine-rich 2 (SC-35)"	Sfrs2	20382		
1427823_at	UP	UP	1	---	---	---		
1428188_at	UP	UP	1	RIKEN cDNA 2610019A05 gene	2610019A05Rik	72149		
1428223_at	UP	UP	1	major facilitator superfamily domain containing 2	Mfsd2	76574		
1428224_at	UP	UP	1	heterogeneous nuclear ribonucleoprotein D-like	Hnrpdl	50926		
1428598_at	UP	UP	1	"TBC1 domain family, member 7"	Tbc1d7	67046		
1428717_at	UP	UP	1	secernin 1	Scrn1	69938		
1428923_at	UP	UP	1	"protein phosphatase 1, regulatory (inhibitor) subunit 3G"	Ppp1r3g	76487		
1429038_at	UP	UP	1	RIKEN cDNA 1500034J01 gene	1500034J01Rik	66498		
1429144_at	UP	UP	1	RIKEN cDNA 2310032D16 gene	2310032D16Rik	74182		
1429503_at	UP	UP	1	RIKEN cDNA 2900024C23 gene	2900024C23Rik	67266		
1429642_at	UP	UP	1	"AN1, ubiquitin-like, homolog (Xenopus laevis)"	Anubl1	67492		
1429966_at	UP	UP	1	RIKEN cDNA 3110057O12 gene	3110057O12Rik	269423		
1430272_at	UP	UP	1	RIKEN cDNA 2900056P18 gene	2900056P18Rik	73051		
1430623_s_at	UP	UP	1	RIKEN cDNA 5830411E10 gene	5830411E10Rik	109019		
1430993_at	UP	UP	1	ubiquitin associated protein 2-like	Ubap2l	74383		
1431057_a_at	UP	UP	1	"protease, serine, 23"	Prss23	76453		
1431101_a_at	UP	UP	1	steroid 5 alpha-reductase 1	Srd5a1	78925		
1431406_at	UP	UP	1	alanine-glyoxylate aminotransferase 2-like 1	Agxt2l1	71760		
1431455_at	UP	UP	1	RIKEN cDNA 4933401B01 gene	4933401B01Rik	71027		
1431788_at	UP	UP	1	RIKEN cDNA 1700008G05 gene	1700008G05Rik	75497		
1432602_at	UP	UP	1	---	---	---		
1432807_at	UP	UP	1	RIKEN cDNA 5830426K05 gene	5830426K05Rik	76053		
1433358_at	UP	UP	1	RIKEN cDNA A230102O21 gene	A230102O21Rik	77747		
1433635_at	UP	UP	1	WD repeat domain 18	Wdr18	216156		
1433687_at	UP	UP	1	expressed sequence AI662250	AI662250	106639		
1434003_a_at	UP	UP	1	deoxyhypusine synthase	Dhps	330817		
1434175_s_at	UP	UP	1	RIKEN cDNA 2210010N04 gene	2210010N04Rik	70381		
1434202_a_at	UP	UP	1	cDNA sequence BC055107	BC055107	268709		
1434213_x_at	UP	UP	1	NADH dehydrogenase (ubiquinone) Fe-S protein 8	Ndufs8	225887		
1434495_at	UP	UP	1	zinc finger protein 278	Zfp278	56218		
1434518_at	UP	UP	1	phosphorylase kinase alpha 2	Phka2	110094		
1434792_at	UP	UP	1	RIKEN cDNA 2010320M18 gene	2010320M18Rik	72093		
1435119_at	UP	UP	1	---	---	---		
1435188_at	UP	UP	1	similar to chromosome 1 open reading frame 51	LOC433627	433627		
1435549_at	UP	UP	1	"transient receptor potential cation channel, subfamily M, member 4"	Trpm4	68667		
1435723_at	UP	UP	1	"Adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230079O03 product:hypothetical protein, full insert sequence"	A530089L17	328309		
1436250_at	UP	UP	1	RIKEN cDNA 5430405G05 gene	5430405G05Rik	108832		
1437205_at	UP	UP	1	"DNA segment, Chr 8, ERATO Doi 325, expressed"	D8Ertd325e	66855		
1437392_at	UP	UP	1	hypothetical LOC433485	LOC433485	433485		
1437651_a_at	UP	UP	1	"dystrobrevin, beta"	Dtnb	13528		
1437671_x_at	UP	UP	1	"protease, serine, 23"	Prss23	76453		
1437864_at	UP	UP	1	adiponectin receptor 2	Adipor2	68465		
1438206_a_at	UP	UP	1	RIKEN cDNA 2610042O14 gene	2610042O14Rik	66460		
1438211_s_at	UP	UP	1	D site albumin promoter binding protein	Dbp	13170		
1438311_at	UP	UP	1	RIKEN cDNA 2010002M12 gene	2010002M12Rik	112419		
1438805_at	UP	UP	1	RIKEN cDNA 9230106B05 gene	9230106B05Rik	77709		
1438964_x_at	UP	UP	1	TCF3 (E2A) fusion partner /// similar to Amida	Tfpt /// LOC546028	546028 /// 69714		
1439008_at	UP	UP	1	zinc finger protein 319	Zfp319	79233		
1439136_at	UP	UP	1	"Single-stranded DNA binding protein 3, mRNA (cDNA clone MGC:36847 IMAGE:4208359)"	Ssbp3	72475		
1439576_at	UP	UP	1	"Transcribed locus, weakly similar to XP_370836.2 PREDICTED: hypothetical protein XP_370836 [Homo sapiens]"	---	---		
1439661_at	UP	UP	1	"Solute carrier family 16 (monocarboxylic acid transporters), member 14, mRNA (cDNA clone MGC:32427 IMAGE:5041164)"	Slc16a14	71781		
1440452_at	UP	UP	1	dystrophin related protein 2	Drp2	13497		
1440761_at	UP	UP	1	"Adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230052H07 product:unclassifiable, full insert sequence"	---	---		
1440843_at	UP	UP	1	RIKEN cDNA A230051N06 gene	A230051N06Rik	320593		
1440965_at	UP	UP	1	"Phosphatidylinositol glycan, class L, mRNA (cDNA clone IMAGE:874131)"	Pigl	327942		
1441159_at	UP	UP	1	"mediator of RNA polymerase II transcription, subunit 12 homolog (yeast)-like"	Med12l	329650		
1442026_at	UP	UP	1	---	---	---		
1442039_at	UP	UP	1	"Thymocyte selection-associated HMG box gene (Tox), mRNA"	Tox	252838		
1443006_at	UP	UP	1	"F-box only protein 7 (Fbxo7), mRNA"	Fbxo7	69754		
1443069_at	UP	UP	1	"Protein kinase C, alpha (Prkca), mRNA"	Prkca	18750		
1443174_at	UP	UP	1	"RIKEN cDNA 8430438D04 gene, mRNA (cDNA clone IMAGE:5012310)"	8430438D04Rik	278279		
1444323_at	UP	UP	1	"Cyclin D3, mRNA (cDNA clone MGC:5843 IMAGE:3483584)"	Ccnd3	12445		
1444452_at	UP	UP	1	RIKEN cDNA D930002L09 gene	D930002L09Rik	320876		
1444749_at	UP	UP	1	"Apolipoprotein D (Apod), mRNA"	Apod	11815		
1445153_at	UP	UP	1	"Transcribed locus, weakly similar to NP_001001306.1 hypothetical protein LOC329695 [Mus musculus]"	---	---		
1445600_at	UP	UP	1	"Insulin-like growth factor I receptor (Igf1r), mRNA"	Igf1r	16001		
1445656_at	UP	UP	1	Transcribed locus	---	---		
1445724_at	UP	UP	1	"IQ motif containing GTPase activating protein 1 (Iqgap1), mRNA"	Iqgap1	29875		
1446303_at	UP	UP	1	"Insulin-like growth factor I receptor (Igf1r), mRNA"	Igf1r	16001		
1446344_at	UP	UP	1	nyctalopin	Nyx	236690		
1446361_at	UP	UP	1	---	---	---		
1446556_at	UP	UP	1	"potassium voltage-gated channel, Shal-related family, member 1"	Kcnd1	16506		
1446744_at	UP	UP	1	sorbin and SH3 domain containing 2	Sorbs2	234214		
1447112_s_at	UP	UP	1	"crystallin, lamda 1"	Cryl1	68631		
1447335_x_at	UP	UP	1	B-cell CLL/lymphoma 11A (zinc finger protein)	Bcl11a	14025		
1447726_at	UP	UP	1	RIKEN cDNA C030002E08 gene	C030002E08Rik	382089		
1447886_at	UP	UP	1	RIKEN cDNA 0610040B09 gene	0610040B09Rik	75395		
1447988_at	UP	UP	1	MKIAA0300 protein	Pdzk3	68070		
1448196_at	UP	UP	1	"methionine adenosyltransferase II, beta"	Mat2b	108645		
1448231_at	UP	UP	1	FK506 binding protein 5	Fkbp5	14229		
1448276_at	UP	UP	1	tetraspanin 4	Tspan4	64540		
1448296_x_at	UP	UP	1	"tubulin, alpha 3 /// tubulin, alpha 7"	Tuba3 /// Tuba7	22144 /// 22147		
1448472_at	UP	UP	1	valyl-tRNA synthetase 2	Vars2	22321		
1448615_at	UP	UP	1	copper chaperone for superoxide dismutase	Ccs	12460		
1448660_at	UP	UP	1	Rho GDP dissociation inhibitor (GDI) gamma	Arhgdig	14570		
1448726_at	UP	UP	1	"small nuclear RNA activating complex, polypeptide 2"	Snapc2	102209		
1449267_at	UP	UP	1	RIKEN cDNA 3110023E09 gene	3110023E09Rik	68038		
1449287_at	UP	UP	1	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	Srms	20811		
1449383_at	UP	UP	1	adenylosuccinate synthetase like 1	Adssl1	11565		
1449471_at	UP	UP	1	"potassium large conductance calcium-activated channel, subfamily M, beta member 4"	Kcnmb4	58802		
1449964_a_at	UP	UP	1	malonyl-CoA decarboxylase	Mlycd	56690		
1450111_a_at	UP	UP	1	nudix (nucleoside diphosphate linked moiety X)-type motif 8	Nudt8	66387		
1450813_a_at	UP	UP	1	"troponin I, skeletal, slow 1"	Tnni1	21952		
1451073_at	UP	UP	1	signal peptide peptidase 3	Sppl3	74585		
1451337_at	UP	UP	1	"proteasome (prosome, macropain) inhibitor subunit 1"	Psmf1	228769		
1451695_a_at	UP	UP	1	glutathione peroxidase 4	Gpx4	14779		
1451780_at	UP	UP	1	B-cell linker	Blnk	17060		
1451861_at	UP	UP	1	RIKEN cDNA 4930519N16 gene	4930519N16Rik	75124		
1452012_a_at	UP	UP	1	exosome component 1	Exosc1	66583		
1452170_at	UP	UP	1	RIKEN cDNA 2010209O12 gene	2010209O12Rik	100910		
1452357_at	UP	UP	1	"glycoprotein Ib, beta polypeptide /// septin 5"	Gp1bb /// Sept5	14724 /// 18951		
1453076_at	UP	UP	1	RIKEN cDNA 9130211I03 gene	9130211I03Rik	381319		
1453121_at	UP	UP	1	RIKEN cDNA 1700010L19 gene	1700010L19Rik	71840		
1453175_at	UP	UP	1	zinc finger and BTB domain containing 25	Zbtb25	109929		
1453411_at	UP	UP	1	RIKEN cDNA 2010110K16 gene	2010110K16Rik	67899		
1453566_at	UP	UP	1	RIKEN cDNA 3200001K10 gene	3200001K10Rik	381626		
1453651_a_at	UP	UP	1	brain protein 44-like	Brp44l	55951		
1453660_at	UP	UP	1	RIKEN cDNA 5430420F09 gene	5430420F09Rik	74491		
1453677_a_at	UP	UP	1	"Der1-like domain family, member 3"	Derl3	70377		
1453713_s_at	UP	UP	1	RIKEN cDNA 4930546H06 gene	4930546H06Rik	75202		
1453978_at	UP	UP	1	RIKEN cDNA 4921522H14 gene	4921522H14Rik	78254		
1454056_at	UP	UP	1	RIKEN cDNA 9030407P20 gene	9030407P20Rik	71568		
1454837_at	UP	UP	1	---	---	---		
1454868_at	UP	UP	1	"DNA segment, Chr 4, ERATO Doi 429, expressed"	D4Ertd429e	230917		
1455417_at	UP	UP	1	"potassium inwardly rectifying channel, subfamily J, member 11"	Kcnj11	16514		
1455596_a_at	UP	UP	1	cDNA sequence BC029214	BC029214	227622		
1455714_at	UP	UP	1	"gene model 691, (NCBI)"	Gm691	277432		
1455716_at	UP	UP	1	"Adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230342J21 product:unclassifiable, full insert sequence"	---	---		
1455801_x_at	UP	UP	1	tubulin-specific chaperone d	Tbcd	108903		
1455967_at	UP	UP	1	sorbin and SH3 domain containing 1	Sorbs1	20411		
1455992_at	UP	UP	1	vestigial like 4 (Drosophila)	Vgll4	232334		
1456193_x_at	UP	UP	1	---	---	---		
1456341_a_at	UP	UP	1	Kruppel-like factor 9	Klf9	16601		
1456755_at	UP	UP	1	RIKEN cDNA 2310001H13 gene	2310001H13Rik	67095		
1456779_a_at	UP	UP	1	RIKEN cDNA 4930414L22 gene	4930414L22Rik	78108		
1456979_at	UP	UP	1	---	---	---		
1456986_at	UP	UP	1	"PREDICTED: zinc finger and BTB domain containing 16 [Mus musculus], mRNA sequence"	Zbtb16	235320		
1457037_at	UP	UP	1	"gene model 1103, (NCBI) /// ZBTB2-like"	Gm1103 /// LOC544682	381990 /// 544682		
1457051_at	UP	UP	1	tripartite motif protein 27	Trim27	19720		
1457279_at	UP	UP	1	"Sirtuin 7 (silent mating type information regulation 2, homolog) 7 (S. cerevisiae) (Sirt7), mRNA"	Sirt7	209011		
1457310_x_at	UP	UP	1	similar to Transcriptional repressor scratch 2 (Scratch homolog 2 zinc finger protein)	LOC545474	545474		
1457469_at	UP	UP	1	---	---	---		
1457897_at	UP	UP	1	Transcribed locus	---	---		
1458028_at	UP	UP	1	Transcribed locus	---	---		
1458176_at	UP	UP	1	"Period homolog 3 (Drosophila) (Per3), mRNA"	Per3	18628		
1459019_at	UP	UP	1	shadow of prion protein	Sprn	212518		
1459493_at	UP	UP	1	"SET binding protein 1 (Setbp1), mRNA"	Setbp1	240427		
1459557_at	UP	UP	1	"PREDICTED: zinc finger and BTB domain containing 16 [Mus musculus], mRNA sequence"	Zbtb16	235320		
1459696_at	UP	UP	1	"RIKEN cDNA 9330186A19 gene, mRNA (cDNA clone IMAGE:6851622)"	9330186A19Rik	320365		
1459807_x_at	UP	UP	1	RIKEN cDNA 4933406E20 gene	4933406E20Rik	74443		
1459881_at	UP	UP	1	expressed sequence AI595406	AI595406	237730		
1460202_at	UP	UP	1	myozenin 1	Myoz1	59011		
1460685_at	UP	UP	1	translocase of inner mitochondrial membrane 17b	Timm17b	21855		
1415677_at	UP	No Change	2	dehydrogenase/reductase (SDR family) member 1	Dhrs1	52585		
1415678_at	UP	No Change	2	"protein phosphatase 1A, magnesium dependent, alpha isoform"	Ppm1a	19042		
1415696_at	UP	No Change	2	SAR1a gene homolog 1 (S. cerevisiae)	Sara1	20224		
1415722_a_at	UP	No Change	2	RIKEN cDNA 1110059P08 gene	1110059P08Rik	66201		
1415723_at	UP	No Change	2	eukaryotic translation initiation factor 5	Eif5	217869		
1415731_at	UP	No Change	2	angel homolog 2 (Drosophila)	Angel2	52477		
1415734_at	UP	No Change	2	"RAB7, member RAS oncogene family"	Rab7	19349		
1415736_at	UP	No Change	2	prefoldin 5	Pfdn5	56612		
1415779_s_at	UP	No Change	2	"actin, gamma, cytoplasmic 1"	Actg1	11465		
1415793_at	UP	No Change	2	pyridoxine 5'-phosphate oxidase	Pnpo	103711		
1415818_at	UP	No Change	2	annexin A6	Anxa6	11749		
1415826_at	UP	No Change	2	"ATPase, H+ transporting, lysosomal, V1 subunit H"	Atp6v1h	108664		
1415849_s_at	UP	No Change	2	stathmin 1	Stmn1	16765		
1415858_at	UP	No Change	2	"eukaryotic translation initiation factor 3, subunit 8"	Eif3s8	56347		
1415877_at	UP	No Change	2	dihydropyrimidinase-like 3	Dpysl3	22240		
1415886_at	UP	No Change	2	SH2 domain containing 3C	Sh2d3c	27387		
1415918_a_at	UP	No Change	2	triosephosphate isomerase 1	Tpi1	21991		
1415922_s_at	UP	No Change	2	MARCKS-like 1	Marcksl1	17357		
1415947_at	UP	No Change	2	cellular repressor of E1A-stimulated genes 1	Creg1	433375		
1415950_a_at	UP	No Change	2	phosphatidylethanolamine binding protein	Pbp	23980		
1415966_a_at	UP	No Change	2	NADH dehydrogenase (ubiquinone) flavoprotein 1	Ndufv1	17995		
1415978_at	UP	No Change	2	"tubulin, beta 3"	Tubb3	22152		
1416013_at	UP	No Change	2	"phospholipase D family, member 3"	Pld3	18807		
1416020_a_at	UP	No Change	2	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1"	Atp5g1	11951		
1416021_a_at	UP	No Change	2	"fatty acid binding protein 5, epidermal"	Fabp5	16592		
1416022_at	UP	No Change	2	"fatty acid binding protein 5, epidermal"	Fabp5	16592		
1416054_at	UP	No Change	2	ribosomal protein S5	Rps5	20103		
1416057_at	UP	No Change	2	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11"	Ndufb11	104130		
1416072_at	UP	No Change	2	CD34 antigen	Cd34	12490		
1416074_a_at	UP	No Change	2	ribosomal protein L28	Rpl28	19943		
1416086_at	UP	No Change	2	protein-tyrosine sulfotransferase 2	Tpst2	22022		
1416088_a_at	UP	No Change	2	ribosomal protein S15	Rps15	20054		
1416089_at	UP	No Change	2	ribosomal protein S15	Rps15	20054		
1416096_at	UP	No Change	2	expressed sequence AI413782	AI413782	104799		
1416100_at	UP	No Change	2	"eukaryotic translation initiation factor 3, subunit 7 (zeta)"	Eif3s7	55944		
1416101_a_at	UP	No Change	2	"histone 1, H1c"	Hist1h1c	50708		
1416104_at	UP	No Change	2	mannose-P-dolichol utilization defect 1	Mpdu1	24070		
1416107_at	UP	No Change	2	neuron specific gene family member 2	Nsg2	18197		
1416112_at	UP	No Change	2	"cytochrome c oxidase, subunit VIIIa"	Cox8a	12868		
1416134_at	UP	No Change	2	amyloid beta (A4) precursor-like protein 1	Aplp1	11803		
1416135_at	UP	No Change	2	apurinic/apyrimidinic endonuclease 1	Apex1	11792		
1416183_a_at	UP	No Change	2	"lactate dehydrogenase 2, B chain"	Ldh2	16832		
1416192_at	UP	No Change	2	N-ethylmaleimide sensitive fusion protein attachment protein alpha	Napa	108124		
1416202_at	UP	No Change	2	prohibitin 2	Phb2	12034		
1416205_at	UP	No Change	2	"galactosidase, beta 1"	Glb1	12091		
1416207_at	UP	No Change	2	tafazzin	Taz	66826		
1416211_a_at	UP	No Change	2	pleiotrophin	Ptn	19242		
1416219_at	UP	No Change	2	ribosomal protein L19	Rpl19	19921		
1416228_at	UP	No Change	2	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1	Pin1	23988		
1416239_at	UP	No Change	2	argininosuccinate synthetase 1	Ass1	11898		
1416244_a_at	UP	No Change	2	cellular nucleic acid binding protein 1	Cnbp1	12785		
1416253_at	UP	No Change	2	"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)"	Cdkn2d	12581		
1416261_at	UP	No Change	2	transmembrane protein 19	Tmem19	67226		
1416279_at	UP	No Change	2	"adaptor protein complex AP-1, beta 1 subunit"	Ap1b1	11764		
1416327_at	UP	No Change	2	ubiquitin-fold modifier conjugating enzyme 1	Ufc1	66155		
1416335_at	UP	No Change	2	macrophage migration inhibitory factor	Mif	17319		
1416340_a_at	UP	No Change	2	"mannosidase 2, alpha B1"	Man2b1	17159		
1416351_at	UP	No Change	2	mitogen activated protein kinase kinase 1	Map2k1	26395		
1416352_s_at	UP	No Change	2	"glycoprotein, synaptic 2"	Gpsn2	106529		
1416378_at	UP	No Change	2	polynucleotide kinase 3'- phosphatase	Pnkp	59047		
1416381_a_at	UP	No Change	2	peroxiredoxin 5	Prdx5	54683		
1416416_x_at	UP	No Change	2	"glutathione S-transferase, mu 1"	Gstm1	14862		
1416419_s_at	UP	No Change	2	gamma-aminobutyric acid (GABA(A)) receptor-associated protein-like 1	Gabarapl1	57436		
1416457_at	UP	No Change	2	dimethylarginine dimethylaminohydrolase 2	Ddah2	51793		
1416478_a_at	UP	No Change	2	"malate dehydrogenase 2, NAD (mitochondrial)"	Mdh2	17448		
1416526_a_at	UP	No Change	2	"Parkinson disease (autosomal recessive, early onset) 7"	Park7	57320		
1416531_at	UP	No Change	2	glutathione S-transferase omega 1	Gsto1	14873		
1416535_at	UP	No Change	2	microspherule protein 1 /// similar to Microspherule protein 1	Mcrs1 /// LOC433780	433780 /// 51812		
1416553_at	UP	No Change	2	stimulated by retinoic acid 13	Stra13	20892		
1416557_a_at	UP	No Change	2	elongation factor Tu GTP binding domain containing 2	Eftud2	20624		
1416563_at	UP	No Change	2	cytidine 5'-triphosphate synthase	Ctps	51797		
